plural dominant;semantic plt;Pluralia tantum formali
РЕГАЛИЯ;ОТНОШЕНИЕ;ГРЯЗИ
РЕКВИЗИТ;ОТРЫВОК;ГУГЕНОТЫ
РЕПАРАЦИЯ;ПАР;ГУСЛИ
РЕПРЕССИЯ;ПЕСОК;ДАГЕСТАНЦЫ
РОГАТКА;ПОЗНАНИЕ;ДВОЙНЯШКИ
РОСТОК;ПОЛЗУНОК;ДЕБАТЫ
РУИНА;ПОТОМКИ;ДЕБРИ
РУКАВЧИК;ПРАВО;ДЕВЧАТА
СБОР;ПРЕДОК;ДЕНЗНАКИ
СВЕДЕНИЕ;ПРЕЛЕСТИ;ДЕНЬГИ
СВЯЗЬ;ПРЕЛЕСТЬ;ДЕНЬЖАТА
СИЛА;ПРОМЫСЕЛ;ДЕТИ
СКАТ;ПРОЦЕНТ1;ДЖИНСЫ
СКЛЯНКА;ПРОЦЕНТ2;ДЖУНГЛИ
СЛОЖНОСТЬ;ПРЫЖКИ;ДИКОРОСЫ
СЛОЙ;РАЗНОСОЛЫ;ДОВЫБОРЫ
СНАСТЬ;РАЗЪЕЗДЫ;ДОГОНЯЛКИ
СОКРОВИЩЕ;РАМКА;ДОМОЧАДЦЫ
СОШКА;РАСКОПКА;ДОСПЕХИ
СТРАДАНИЕ;РАЧОК;ДОЧКИ-МАТЕРИ
СТРОГОСТЬ;РЕМЕНЬ;ДРАГМЕТАЛЛЫ
ТЕЛЬЦЕ;РОЖОК;ДРОБЯНКИ
ТЕРЗАНИЕ;РОЗГА;ДРОВА
ТРАВА;РОЛИК;ДРОВНИ
ТЫЛ;РОССЫПЬ;ДРОГИ
ТЯЖЕСТЬ;РЮХИ;ДРОЖЖИ
УГАР;РЯД;ДРОЖКИ
УГОДЬЕ;СБЕРЕЖЕНИЕ;ДРУИДЫ
УДОБСТВО;СБОР;ДРЯЗГИ
УЖАС;СВЯЗЬ;ДУХИ
УСЛОВИЕ;СЕМЕНА;ДЫХАЛЬЦА
УХО;СЕМЕЧКО;ДЮНЫ
ХВОСТ;СЕМЯ;ЕССЕНТУКИ
ХУДОЖЕСТВО;СИЛА;ЖАБРЫ
ЦВЕТОЧЕК;СЛАДКОСТЬ;ЖАЛЮЗИ
ЦЕННОСТЬ;СЛУЖБА;ЖВАЛЫ
ЦЕРЕМОНИЯ;СРЕДСТВО1;ЖИДЫ
ЧАС;СРЕДСТВО2;ЖМУРКИ
ЧТЕНИЕ;СТАРИК1;ЗАДАТКИ
ЧУДАЧЕСТВО;СТАРИК2;ЗАДВОРКИ
ШЁЛК;СТРАХ;ЗАКОРКИ
ШТАТ;СУДКИ;ЗАМОРОЗКИ
ЯСТРЕБ;ТАНЕЦ;ЗАПЧАСТИ
;ТЕНЬ;ЗАПЯТКИ
;ТОК;ЗАРОСЛИ
;ТРЕБОВАНИЕ;ЗРАЗЫ
;ТРОПИКИ;ИЗДЕРЖКИ
;ТРЯПКИ;ИЗМЫ
;УГОЛОК;ИКРЫ
;УСЛУГИ;ИМЕНИНЫ
;УСТОИ;ИНИЦИАЛЫ
;УШКО;КАВЫЧКИ
;ФИБРЫ;КАДРЫ
;ФОНД;КАЗАКИ-РАЗБОЙНИКИ
;ФОРМА;КАЛОШИ
;ХРИП;КАЛЬСОНЫ
;ЧЕРТА;КАМЧАДАЛЫ
;ЧЁРТИК;КАНИКУЛЫ
;ЧТЕНИЕ;КАРАКУЛИ
;ШАРИК;КАСТАНЬЕТЫ
;ШЛАК;КАТАКОМБЫ
;ШПАЛЕРА;КАЧЕЛИ
;ЭТЮД;КВАСЦЫ
;;КЕГЛИ
;;КЕДЫ
;;КИРЗАЧИ
;;КЛАВИКОРДЫ
;;КЛАССЫ
;;КЛЁЦКИ
;;КЛЕШИ
;;КЛЕШИ
;;КЛИПСЫ
;;КОВЫ
;;КОЗЛЫ
;;КОЗНИ
;;КОККИ
;;КОЛГОТКИ
;;КОЛИКИ
;;КОЛОСНИКИ
;;КОНСЕРВЫ
;;КОНТРАЦЕПТИВЫ
;;КОНТРЫ
;;КОНФЕТТИ
;;КОНЬКИ
;;КОПИ
;;КОПЧЁНОСТИ
;;КОРНИШОНЫ
;;КОРТОЧКИ
;;КОРЧИ
;;КОСМЫ
;;КОШКИ-МЫШКИ
;;КРАГИ
;;КРАНТЫ
;;КРЕВЕТКИ
;;КРЕСТИКИ-НОЛИКИ
;;КРЕСТИНЫ
;;КРИВОТОЛКИ
;;КРОССОВКИ
;;КРУЖЕВА
;;КРЫМЧАКИ
;;КУДРИ
;;КУЛУАРЫ
;;КУЛЬТТОВАРЫ
;;КУРАНТЫ
;;КУРСЫ
;;КУСАЧКИ
;;ЛАДУШКИ
;;ЛАТЫ
;;ЛЕЙКОЦИТЫ
;;ЛЕСА
;;ЛЕСОЗАГОТОВКИ
;;ЛЕСОРАЗРАБОТКИ
;;ЛЕТА
;;ЛИТАВРЫ
;;ЛЫЖЕРОЛЛЕРЫ
;;ЛЫЖИ
;;ЛЫЧКИ
;;ЛЮДИ
;;МАКАРОНЫ
;;МАНАТКИ
